player,team,position,games_played,current_points,avg_points_per_game,points_per_90,total_goal_involvement,recent_form_3_games,consistency,projected_simple,projected_form,projected_efficiency,projected_expected,final_projection,value_rating,value,points_per_million
Florentino Ibrain Morris Luís,BUR,MID,9,35,3.89,4.15,1,5.33,1.83,147.82,189.66666666666666,157.70000000000002,36.41777777777778,132.90111111111113,5.493148448988269,10.716417555341756,12.401636127444904
Matthijs de Ligt,MUN,DEF,9,32,3.56,3.56,0,4.33,2.6,135.28,157.66666666666666,135.28,53.13777777777778,132.37522222222225,10.660437585077698,5.500143511775822,24.06759422527913
Anton Stach,LEE,MID,9,43,4.78,4.99,4,2.0,5.8,181.64000000000001,101.0,189.62,53.69777777777777,131.48944444444444,8.24634726483546,7.062714028510366,18.617410235449892
Riccardo Calafiori,ARS,DEF,9,30,3.33,3.91,0,4.33,2.35,126.54,155.66666666666666,148.58,46.111111111111114,131.1468888888889,10.545512278408156,5.508491224602437,23.808132488829393
Rodrigo Bentancur,TOT,MID,9,30,3.33,3.95,1,6.0,3.46,126.54,204.0,150.1,43.92,131.14,10.666439199730405,5.445754615044413,24.081143802864954
Caoimhín Kelleher,BRE,GK,9,40,4.44,4.44,0,5.67,3.05,168.72000000000003,204.33333333333334,168.72000000000003,40.0,130.89900000000003,7.852152248727159,7.3839707570971616,17.72745373811041
Bruno Borges Fernandes,MUN,MID,9,33,3.67,3.83,3,3.33,4.58,139.46,129.66666666666669,145.54,107.75555555555556,130.60555555555555,5.05759591171823,11.43825763776066,11.41830860011342
John McGinn,AVL,MID,9,33,3.67,4.44,3,3.67,1.8,139.46,139.33333333333331,168.72000000000003,72.3111111111111,129.9561111111111,8.048629909756642,7.151828631498754,18.17103258581256
Brenden Aaronson,LEE,MID,9,33,3.67,4.32,5,3.67,1.32,139.46,139.33333333333331,164.16000000000003,73.21333333333334,129.04166666666666,5.25194020262409,10.883098052158322,11.85707103328682
Quilindschy Hartman,BUR,DEF,9,31,3.44,3.48,5,4.33,1.24,130.72,156.66666666666666,132.24,49.56,129.02633333333335,8.507445493421521,6.7177143276014775,19.206880054901276
Dominic Calvert-Lewin,LEE,FWD,9,36,4.0,4.07,4,2.0,3.97,152.0,94.0,154.66000000000003,89.23111111111112,128.5964166666667,10.013188477776685,5.688513947257294,22.606328798520256
Tyrick Mitchell,CRY,DEF,9,37,4.11,4.11,2,2.0,2.8,156.18,95.0,156.18,55.68888888888888,127.33844444444445,9.792958840639002,5.759542165563576,22.10912617426498
Justin Kluivert,BOU,MID,9,22,2.44,6.78,2,3.33,2.6,92.72,118.66666666666667,257.64,35.79111111111111,126.20444444444443,9.35326713244495,5.9765927313218485,21.1164538254444
Diego Coppola,BHA,DEF,9,3,0.33,11.33,0,0.33,0.5,12.540000000000001,12.666666666666666,430.54,3.0,126.15533333333335,7.9183625024048325,7.05687763007774,17.876933673277197
Sandro Tonali,NEW,MID,9,35,3.89,3.96,3,3.67,1.62,147.82,141.33333333333331,150.48,60.26222222222222,124.9738888888889,5.928696327805966,9.336894018541999,13.384953137596412
Daniel Ballard,SUN,DEF,9,21,2.33,4.62,0,4.67,3.04,88.54,156.33333333333334,175.56,33.11555555555556,124.72594444444445,9.128530169898049,6.051991326677583,20.609075213747275
Nathan Aké,MCI,DEF,9,12,1.33,8.08,0,2.33,1.8,50.540000000000006,79.66666666666667,307.04,16.124444444444443,124.67705555555557,13.089904471006522,4.2188337446292605,29.552493201296286
Matty Cash,AVL,DEF,9,37,4.11,4.15,2,2.0,3.48,156.18,95.0,157.70000000000002,43.96,124.531,9.070049785516018,6.0814922225080075,20.477046659552155
Lewis Cook,BOU,MID,9,2,0.22,12.5,0,0.33,0.44,8.36,11.666666666666666,475.0,2.0,124.25666666666666,6.220261384977062,8.8481691248844,14.043206556394802
Hugo Bueno López,WOL,DEF,9,29,3.22,3.77,0,3.67,2.86,122.36000000000001,135.33333333333331,143.26,49.879999999999995,123.97916666666667,7.656483965369426,7.1723535052694425,17.285702186260153
Yehor Yarmoliuk,BRE,MID,9,35,3.89,4.0,3,4.0,2.37,147.82,151.0,152.0,44.666666666666664,123.87166666666667,9.023011860694112,6.080829182513012,20.370851235698495
Lucas Digne,AVL,DEF,9,29,3.22,3.41,4,3.67,2.11,122.36000000000001,135.33333333333331,129.58,63.026666666666664,123.8325,5.167707447206126,10.613999731131292,11.666902500175711
Tino Livramento,NEW,DEF,9,36,4.0,4.37,0,2.0,3.0,152.0,94.0,166.06,37.41777777777778,123.6063888888889,9.619603117600214,5.691491812963756,21.71774869417282
Ryan Christie,BOU,MID,9,21,2.33,6.62,4,3.33,1.87,88.54,117.66666666666667,251.56,33.76,122.88166666666666,10.264821811245456,5.302467671877435,23.174430146626086
Nick Pope,NEW,GK,9,42,4.67,4.67,0,3.67,2.6,177.46,148.33333333333331,177.46,42.0,122.682,6.265884860823791,8.672429702223608,14.146208641915468
Martín Zubimendi Ibáñez,ARS,MID,9,35,3.89,4.3,2,2.67,4.57,147.82,112.33333333333333,163.4,64.77333333333333,122.08166666666665,6.258703171245935,8.63989462561273,14.129994861830712
Ben Gannon-Doak,BOU,MID,9,12,1.33,9.15,2,2.0,1.58,50.540000000000006,70.0,347.7,17.54222222222222,121.44555555555556,5.278239119009419,10.191425071634715,11.916444923249145
Joe Rodon,LEE,DEF,9,32,3.56,3.56,3,3.0,2.74,135.28,119.0,135.28,48.49777777777778,120.4658888888889,6.155668545053816,8.668245714636669,13.897378184086035
Diogo Dalot Teixeira,MUN,DEF,9,25,2.78,3.63,2,4.67,3.73,105.63999999999999,160.33333333333334,137.94,31.831111111111113,119.82972222222224,7.8814118304143355,6.734461619291564,17.79351179000821
Joachim Andersen,FUL,DEF,9,34,3.78,3.91,0,2.33,2.49,143.64,101.66666666666667,148.58,40.96,119.58283333333334,7.227544050885328,7.328590290500414,16.317303682311312
Adam Wharton,CRY,MID,9,31,3.44,4.26,2,2.67,2.24,130.72,108.33333333333333,161.88,76.24000000000001,119.29333333333334,7.589181167455426,6.962474292362078,17.133755662724617
Brajan Gruda,BHA,MID,9,21,2.33,6.88,3,2.0,1.41,88.54,79.0,261.44,46.26222222222222,118.81055555555557,12.668310692341079,4.154116497722477,28.600679740371817
Daichi Kamada,CRY,MID,9,32,3.56,3.65,3,3.67,1.33,135.28,138.33333333333331,138.7,56.102222222222224,117.10388888888889,4.4470074238284925,11.66395443218496,10.039810217858705
Ibrahima Konaté,LIV,DEF,9,31,3.44,3.87,0,2.33,2.35,130.72,98.66666666666667,147.06,46.595555555555556,116.33661111111113,8.319077235648727,6.194176886247655,18.781609445058358
Leny Yoro,MUN,DEF,9,19,2.11,5.84,0,2.67,2.2,80.17999999999999,96.33333333333333,221.92,19.515555555555554,114.93594444444444,6.271456101744661,8.117640855952981,14.158786583931889
Jack Grealish,EVE,MID,9,30,3.33,3.33,2,4.0,3.84,126.54,146.0,126.54,56.29333333333334,113.84333333333335,6.408520510961771,7.868504106051974,14.468230784269654
Kevin Schade,BRE,MID,9,31,3.44,3.44,5,3.67,2.13,130.72,137.33333333333331,130.72,56.519999999999996,113.82333333333332,5.943827019603744,8.48218009036258,13.419113025277424
James Tarkowski,EVE,DEF,9,30,3.33,3.33,0,3.0,2.35,126.54,117.0,126.54,41.986666666666665,113.31833333333336,5.279100785536372,9.507855572163248,11.918390269316104
Jordan Henderson,BRE,MID,9,32,3.56,3.96,4,3.0,2.35,135.28,119.0,150.48,46.69333333333333,112.86333333333333,6.462747143216931,7.735315987988369,14.59065583210704
Marc Cucurella Saseta,CHE,DEF,9,23,2.56,2.67,2,5.0,3.61,97.28,168.0,101.46,42.59111111111111,112.56605555555555,9.649023587952307,5.16733277757271,21.784169977229926
El Hadji Malick Diouf,WHU,DEF,9,29,3.22,3.33,5,3.0,1.56,122.36000000000001,116.0,126.54,44.208888888888886,112.50494444444446,9.900517133546533,5.033337833651618,22.35195573248928
Tijjani Reijnders,MCI,MID,9,34,3.78,4.04,2,2.0,3.03,143.64,92.0,153.52,60.16444444444445,112.3311111111111,9.303364905391877,5.348134861144943,21.003791794259833
William Saliba,ARS,DEF,9,25,2.78,3.11,0,4.33,2.49,105.63999999999999,150.66666666666666,118.17999999999999,32.733333333333334,111.9855,4.4808780988471915,11.069831625778235,10.116278529406012
André Trindade da Costa Neto,WOL,MID,9,28,3.11,4.04,0,4.0,1.76,118.17999999999999,144.0,153.52,31.22222222222222,111.73055555555557,5.628937413289792,8.792004250026542,12.708200812712104
Marshall Munetsi,WOL,MID,9,28,3.11,3.33,2,4.33,1.9,118.17999999999999,153.66666666666666,126.54,46.68888888888889,111.26888888888888,4.226548744206389,11.660850308616793,9.542090494607127
Mohamed Salah,LIV,MID,9,31,3.44,3.46,3,2.0,2.46,130.72,89.0,131.48,92.35111111111111,110.88777777777777,7.949363086498338,6.178651462960519,17.946922308617417
Idrissa Gana Gueye,EVE,MID,9,35,3.89,3.96,2,2.0,3.48,147.82,93.0,150.48,51.36888888888889,110.66722222222221,5.813765277110282,8.43148101504721,13.125478433115177
David Raya Martín,ARS,GK,9,34,3.78,3.78,0,4.67,2.11,143.64,169.33333333333334,143.64,34.644444444444446,110.533,5.47733605158989,8.938505699991271,12.365937183449795
Richarlison de Andrade,TOT,FWD,9,28,3.11,4.78,2,1.33,3.37,118.17999999999999,66.66666666666666,181.64000000000001,52.231111111111105,109.91341666666666,4.659719635063555,10.448002605448984,10.520041085110673
